PUMA,Name
"01902",Fresno County (North Central)--Fresno City (North) PUMA
"01906",Fresno County (Central)--Clovis City PUMA
"01904",Fresno County (Central)--Fresno City (Southwest) PUMA
"01903",Fresno County (Central)--Fresno City (East Central) PUMA
"01905",Fresno County (Central)--Fresno City (Southeast) PUMA
"02905","Kern County (East)--Ridgecrest, Arvin, Tehachapi & California City Cities PUMA"
"02901","Kern County (West)--Delano, Wasco & Shafter Cities PUMA"
"02903",Kern County (Central)--Bakersfield City (Northeast) PUMA
"02902",Kern County (Central)--Bakersfield City (West) PUMA
"02904",Kern County (Central)--Bakersfield City (Southeast) PUMA
"03726","Los Angeles County--Calabasas, Agoura Hills, Malibu & Westlake Village Cities PUMA"
"11106",Ventura County (South Central)--Camarillo & Moorpark Cities PUMA
"11103",Ventura County (Southwest)--Oxnard & Port Hueneme Cities PUMA
"11104",Ventura County (Southwest)--San Buenaventura (Ventura) City PUMA
"11105","Ventura County (North)--Santa Paula, Fillmore & Ojai Cities PUMA"
"11102",Ventura County (Southeast)--Thousand Oaks City PUMA
"11101",Ventura County (Southeast)--Simi Valley City PUMA
"03705",Los Angeles County (North)--LA City (Northwest/Chatsworth & Porter Ranch) PUMA
"00702",Butte County (Southeast)--Oroville City & Paradise Town PUMA
"00701",Butte County (Northwest)--Chico City PUMA
"07701",San Joaquin County (Central)--Stockton City (North) PUMA
"07702",San Joaquin County (Central)--Stockton City (South) PUMA
"07703","San Joaquin County (South)--Tracy, Manteca & Lathrop Cities PUMA"
"06514",Riverside County (Northwest)--Jurupa Valley & Eastvale Cities PUMA
"06511",Riverside County (Northwest)--Riverside City (West) PUMA
"06503",Riverside County (Southwest)--Temecula City PUMA
"06505","Riverside County (Southwest)--Menifee, Lake Elsinore & Canyon Lake Cities PUMA"
"06506",Riverside County (Southwest)--Hemet City & East Hemet PUMA
"06504",Riverside County (Southwest)--Murrieta & Wildomar Cities PUMA
"06509","Riverside County (West Central)--Perris City, Temescal Valley & Mead Valley PUMA"
"06508",Riverside County (Northwest)--Moreno Valley City PUMA
"06512","Riverside County (West Central)--Corona City (South), Woodcrest & Home Gardens PUMA"
"06510",Riverside County (Northwest)--Riverside City (East) PUMA
"06513",Riverside County (West Central)--Corona (Northwest) & Norco Cities PUMA
"08900",Shasta County--Redding City PUMA
"07102",San Bernardino County (West Central)--Victorville & Adelanto Cities PUMA
"07103",San Bernardino County (West Central)--Hesperia City & Apple Valley Town PUMA
"07105",San Bernardino County (Southwest)--Redlands & Yucaipa Cities PUMA
"07107",San Bernardino County (Southwest)--San Bernardino City (East) PUMA
"07112",San Bernardino County (Southwest)--Upland & Montclair Cities PUMA
"07111",San Bernardino County (Southwest)--Rancho Cucamonga City PUMA
"07115",San Bernardino County (Southwest)--Fontana City (West) PUMA
"07108",San Bernardino County (Southwest)--San Bernardino City (West) PUMA
"07106","San Bernardino County (Southwest)--Colton, Loma Linda & Grand Terrace Cities PUMA"
"07109",San Bernardino County (Southwest)--Rialto City PUMA
"07110",San Bernardino County (Southwest)--Fontana City (East) PUMA
"07114",San Bernardino County (Southwest)--Chino & Chino Hills Cities PUMA
"07113",San Bernardino County (Southwest)--Ontario City PUMA
"03768",Los Angeles County (Southwest)--Palos Verdes Peninsula PUMA
"03760","Los Angeles County--Redondo Beach, Manhattan Beach & Hermosa Beach Cities PUMA"
"03765",Los Angeles County (Southeast)--Long Beach City (East) PUMA
"03769",Los Angeles County (Southeast)--Long Beach (Central) & Signal Hill Cities PUMA
"03766",Los Angeles County (South)--Long Beach City (Southwest & Port) PUMA
"03767",Los Angeles County (South)--LA City (South/San Pedro) PUMA
"03748",Los Angeles County--LA (Southwest/Marina del Rey & Westchester) & Culver City Cities PUMA
"03728",Los Angeles County (Southwest)--Santa Monica City PUMA
"03727",Los Angeles County (Central)--LA City (Central/Pacific Palisades) PUMA
"03701",Los Angeles County (North/Unincorporated)--Castaic PUMA
"03761",Los Angeles County (South Central)--Torrance City PUMA
"03759",Los Angeles County (South Central)--Hawthorne City PUMA
"03749",Los Angeles County (Central)--Inglewood City PUMA
