zcta,white,asian,black,latino,other,total,pct_white,pct_asian,pct_black,pct_latino,pct_other
01255,919,12,5,17,19,972,0.9454732510288066,0.012345679012345678,0.0051440329218107,0.01748971193415638,0.01954732510288066
01256,636,0,54,17,12,719,0.8845618915159944,0,0.07510431154381085,0.02364394993045897,0.016689847009735744
01257,2001,0,0,2,0,2003,0.99900149775337,0,0,9.98502246630055e-4,0
01258,430,2,0,48,9,489,0.8793456032719836,0.00408997955010225,0,0.09815950920245399,0.018404907975460124
01259,522,0,6,0,0,528,0.9886363636363636,0,0.011363636363636364,0,0
01260,481,0,0,0,0,481,1,0,0,0,0
01262,921,40,51,38,16,1066,0.8639774859287055,0.0375234521575985,0.04784240150093809,0.03564727954971857,0.0150093808630394
01264,178,0,2,16,0,196,0.9081632653061225,0,0.01020408163265306,0.08163265306122448,0
01266,1201,31,56,37,44,1369,0.8772826880934989,0.022644265887509132,0.04090577063550037,0.02702702702702703,0.03214024835646457
01267,6277,479,343,560,296,7955,0.7890634820867379,0.06021370207416719,0.04311753614079195,0.07039597737272156,0.037209302325581395
01270,730,11,0,8,21,770,0.948051948051948,0.014285714285714285,0,0.01038961038961039,0.02727272727272727
01301,15499,165,371,1307,371,17713,0.8750070569638119,0.009315192231694237,0.020945068593688252,0.07378761361711737,0.020945068593688252
01330,1285,6,2,35,39,1367,0.9400146305779078,0.0043891733723482075,0.001463057790782736,0.025603511338697878,0.02852962692026335
01331,12312,122,77,559,313,13383,0.9199731002017485,0.009116042740790555,0.005753567959351416,0.04176940895165508,0.023387880146454456
01337,2474,10,3,1,10,2498,0.9903923138510808,0.0040032025620496394,0.0012009607686148918,4.0032025620496394e-4,0.0040032025620496394
01338,114,0,0,0,13,127,0.8976377952755905,0,0,0,0.10236220472440945
01339,1350,32,6,18,22,1428,0.9453781512605042,0.022408963585434174,0.004201680672268907,0.012605042016806723,0.015406162464985995
01340,1744,5,13,10,36,1808,0.9646017699115044,0.0027654867256637168,0.007190265486725664,0.0055309734513274336,0.01991150442477876
01341,1778,4,0,46,8,1836,0.9684095860566448,0.002178649237472767,0,0.02505446623093682,0.004357298474945534
01342,1242,6,106,78,7,1439,0.8630993745656707,0.004169562195969423,0.07366226546212648,0.054204308547602505,0.004864489228630994
01343,45,0,0,0,0,45,1,0,0,0,0
01344,1344,5,34,41,35,1459,0.9211788896504455,0.003427004797806717,0.023303632625085675,0.02810143934201508,0.023989033584647018
01346,414,3,0,5,5,427,0.9695550351288056,0.00702576112412178,0,0.0117096018735363,0.0117096018735363
01347,175,0,0,0,0,175,1,0,0,0,0
01349,1284,0,5,0,3,1292,0.9938080495356038,0,0.003869969040247678,0,0.0023219814241486067
01350,91,0,0,0,0,91,1,0,0,0,0
01351,2003,0,27,39,30,2099,0.9542639352072415,0,0.012863268222963315,0.018580276322058123,0.014292520247737018
01354,1464,37,64,8,35,1608,0.9104477611940298,0.023009950248756218,0.03980099502487562,0.004975124378109453,0.021766169154228857
01355,888,4,0,4,53,949,0.9357218124341412,0.004214963119072708,0,0.004214963119072708,0.05584826132771338
01360,2858,5,11,99,24,2997,0.9536202869536203,0.001668335001668335,0.003670337003670337,0.03303303303303303,0.008008008008008008
01364,7478,49,38,92,128,7785,0.9605651894669236,0.006294155427103404,0.0048811817597944765,0.011817597944765576,0.016441875401412974
01366,1209,6,0,35,19,1269,0.9527186761229315,0.004728132387706856,0,0.027580772261623327,0.014972419227738377
01367,545,0,7,22,21,595,0.9159663865546218,0,0.011764705882352941,0.03697478991596639,0.03529411764705882
