NAME,age.group,pop,pop.pct
"Santa Monica city, California",age.0.17,13779,0.1496448663089989
"Santa Monica city, California",age.18.64,62967,0.6838441321488303
"Santa Monica city, California",age.65.99,15332,0.16651100154217077
"South El Monte city, California",age.0.17,5281,0.25478844019877456
"South El Monte city, California",age.18.64,12982,0.6263328026245959
"South El Monte city, California",age.65.99,2464,0.11887875717662952
"South Gate city, California",age.0.17,26376,0.2773414087883663
"South Gate city, California",age.18.64,59957,0.6304427830878101
"South Gate city, California",age.65.99,8770,0.09221580812382364
"South Pasadena city, California",age.0.17,6231,0.2412871747211896
"South Pasadena city, California",age.18.64,15996,0.6194237918215614
"South Pasadena city, California",age.65.99,3597,0.13928903345724908
"West Covina city, California",age.0.17,23353,0.21775983290128867
"West Covina city, California",age.18.64,67853,0.6327091997538278
"West Covina city, California",age.65.99,16036,0.14953096734488353
"West Hollywood city, California",age.0.17,1423,0.03911059806508355
"West Hollywood city, California",age.18.64,29430,0.8088720316622692
"West Hollywood city, California",age.65.99,5531,0.1520173702726473
"Garden Grove city, California",age.0.17,37828,0.21738980518361015
"Garden Grove city, California",age.18.64,112863,0.6486006551347624
"Garden Grove city, California",age.65.99,23319,0.1340095396816275
"Laguna Niguel city, California",age.0.17,13098,0.1995064887589106
"Laguna Niguel city, California",age.18.64,41290,0.6289221958203863
"Laguna Niguel city, California",age.65.99,11264,0.1715713154207031
"Yorba Linda city, California",age.0.17,15863,0.23391580033915801
"Yorba Linda city, California",age.18.64,40120,0.5916095259160953
"Yorba Linda city, California",age.65.99,11832,0.17447467374474673
"Challenge-Brownsville CDP, California",age.0.17,142,0.16435185185185186
"Challenge-Brownsville CDP, California",age.18.64,580,0.6712962962962963
"Challenge-Brownsville CDP, California",age.65.99,142,0.16435185185185186
"Linda CDP, California",age.0.17,5939,0.3074971523247385
"Linda CDP, California",age.18.64,11718,0.6067101584342963
"Linda CDP, California",age.65.99,1657,0.0857926892409651
"Wheatland city, California",age.0.17,903,0.2409927942353883
"Wheatland city, California",age.18.64,2356,0.6287696824125968
"Wheatland city, California",age.65.99,488,0.13023752335201494
"Santa Maria city, California",age.0.17,33375,0.3164016950598675
"Santa Maria city, California",age.18.64,61931,0.5871183034233004
"Santa Maria city, California",age.65.99,10177,0.0964800015168321
"Buellton city, California",age.0.17,1214,0.23841319717203457
"Buellton city, California",age.18.64,2911,0.571681068342498
"Buellton city, California",age.65.99,967,0.1899057344854674
