community_name,community_type,community_parent,tot_pop_univ,white,black,asn,hisp,oth,pct_tot_pop_univ,pct_white,pct_black,pct_asn,pct_hisp,pct_oth
Burbank,City,Burbank,104583.00000000007,59352.00000000008,2318.000000000001,11792.000000000007,26076.00000000003,5044.999999999992,1.0,0.5675109721465251,0.022164214069208182,0.11275255060573898,0.24933306560339644,0.0482391975751316
Calabasas,City,Calabasas,23294.40265069943,17978.13974025588,447.22273053218817,2169.259268633864,1551.499978396895,1148.2809328805956,1.0,0.7717793845087534,0.019198720707215042,0.09312362721474339,0.06660398215235239,0.04929428541693546
Canoga Park,Incorporated neighborhood,Canoga Park,62552.9144880927,14253.503611037871,2756.581515439079,8215.22496451115,36165.34473576785,1162.2596613366966,1.0,0.22786314159272478,0.04406799488077905,0.13133240923690237,0.5781560304860316,0.018580423803561372
Carson,City,Carson,92832.50867805447,6864.699651529939,19403.234999998265,25499.130715008043,37137.16614424526,3928.277167272922,1.0,0.07394715223453557,0.20901336478247276,0.2746788929666835,0.4000448406822432,0.04231574933406452
Carthay,Incorporated neighborhood,Carthay,4641.140079540432,2881.9710561201946,428.82501104728243,352.5651789659743,660.4387980556785,317.34003535130347,1.0,0.6209618771958222,0.09239648097192206,0.07596520960877472,0.14230098353788007,0.06837544868560111
Castaic,Unincorporated neighborhood,Castaic,19515.17254518298,11059.636674000414,614.6754288984895,1894.8271449877707,5248.455317478615,697.5779798176868,1.0,0.5667199020861496,0.03149730946397462,0.09709507515758448,0.2689422963249236,0.03574541696736743
Castaic Canyons,Unincorporated area,Castaic Canyons,35308.971515419726,16368.17598622772,2463.654796092146,4409.181042396943,10195.789377906165,1872.1703127967435,1.0,0.4635698884369826,0.0697741874190883,0.12487424167739965,0.28875917197003537,0.05302251049649381
Central-Alameda,Incorporated neighborhood,Central-Alameda,42832.92021276595,189.99999999999991,4022.6861702127662,207.0,38234.234042553195,178.99999999999991,1.0,0.0044358404483328265,0.09391575802515192,0.00483273143581524,0.8926366414577972,0.004179028632903032
Century City,Incorporated neighborhood,Century City,6024.470354526039,4346.037747330376,191.10025431246913,979.7017052735338,343.63739247576797,163.9932551338919,1.0,0.7213974825297801,0.031720673032924813,0.16262038778853108,0.05704026615677534,0.02722119049198868
Cerritos,City,Cerritos,49796.99999999997,7691.000000000003,4047.999999999998,30250.0,6315.999999999994,1492.0000000000018,1.0,0.15444705504347667,0.08129003755246302,0.6074663132317212,0.12683494989658006,0.029961644275759636
